"Hatch_Date","Retention_Probability","Estimate_Type","Flow_Scenario","Year"
"1930-06-21",0.0177975284504909,"New;0.9","Alt1",1930
"1949-06-21",0,"New;0.9","Alt1",1949
"1953-06-14",0,"New;0.9","Alt1",1953
"1966-06-21",0.427051805762295,"New;0.9","Alt1",1966
"1975-07-02",0.9423957910005,"New;0.9","Alt1",1975
"1980-06-21",0.4527258879407,"New;0.9","Alt1",1980
"1982-06-21",0,"New;0.9","Alt1",1982
"1983-06-21",0.255578995259644,"New;0.9","Alt1",1983
"1985-06-21",0.00886362318292795,"New;0.9","Alt1",1985
"1986-06-14",0.999999979364575,"New;0.9","Alt1",1986
"1987-06-21",0.96653735010874,"New;0.9","Alt1",1987
"1994-06-21",0,"New;0.9","Alt1",1994
"2000-06-21",0.00806397162876199,"New;0.9","Alt1",2000
"2011-06-25",1.75358712953087e-05,"New;0.9","Alt1",2011
"2012-06-21",0.0335201205000124,"New;0.9","Alt1",2012
"1930-06-21",0,"New;0.9","Alt1a",1930
"1949-06-21",0,"New;0.9","Alt1a",1949
"1953-06-14",0,"New;0.9","Alt1a",1953
"1966-06-21",0,"New;0.9","Alt1a",1966
"1975-07-02",0.887230538204868,"New;0.9","Alt1a",1975
"1980-06-21",0,"New;0.9","Alt1a",1980
"1982-06-21",0,"New;0.9","Alt1a",1982
"1983-06-21",0,"New;0.9","Alt1a",1983
"1985-06-21",0,"New;0.9","Alt1a",1985
"1986-06-14",0,"New;0.9","Alt1a",1986
"1987-06-21",0.999359566673882,"New;0.9","Alt1a",1987
"1994-06-21",0,"New;0.9","Alt1a",1994
"2000-06-21",0.0052968174774219,"New;0.9","Alt1a",2000
"2011-06-25",1.74663446217567e-05,"New;0.9","Alt1a",2011
"2012-06-21",0.0140604399148285,"New;0.9","Alt1a",2012
"1930-06-21",0.0277138419308759,"New;0.9","Alt1b",1930
"1949-06-21",0.557391148827839,"New;0.9","Alt1b",1949
"1953-06-14",0,"New;0.9","Alt1b",1953
"1966-06-21",0.0211754395674973,"New;0.9","Alt1b",1966
"1975-07-02",0.743099972139534,"New;0.9","Alt1b",1975
"1980-06-21",0.114220375508106,"New;0.9","Alt1b",1980
"1982-06-21",0,"New;0.9","Alt1b",1982
"1983-06-21",0.158189757133278,"New;0.9","Alt1b",1983
"1985-06-21",0.0453923926178028,"New;0.9","Alt1b",1985
"1986-06-14",0,"New;0.9","Alt1b",1986
"1987-06-21",0.57966155133153,"New;0.9","Alt1b",1987
"1994-06-21",0.488483569451948,"New;0.9","Alt1b",1994
"2000-06-21",0.00335103473808822,"New;0.9","Alt1b",2000
"2011-06-25",1.65798512527895e-05,"New;0.9","Alt1b",2011
"2012-06-21",0.014346783511832,"New;0.9","Alt1b",2012
"1930-06-21",0,"New;0.9","Alt2",1930
"1949-06-21",0,"New;0.9","Alt2",1949
"1953-06-14",0.0125917908800767,"New;0.9","Alt2",1953
"1966-06-21",0,"New;0.9","Alt2",1966
"1975-07-02",0.937599249830345,"New;0.9","Alt2",1975
"1980-06-21",0.48572568002875,"New;0.9","Alt2",1980
"1982-06-21",0,"New;0.9","Alt2",1982
"1983-06-21",0.197103576163785,"New;0.9","Alt2",1983
"1985-06-21",0.0366758904847345,"New;0.9","Alt2",1985
"1986-06-14",0.999999986175038,"New;0.9","Alt2",1986
"1987-06-21",0.840021946027,"New;0.9","Alt2",1987
"1994-06-21",0,"New;0.9","Alt2",1994
"2000-06-21",0.00829631046985591,"New;0.9","Alt2",2000
"2011-06-25",1.47355513300914e-05,"New;0.9","Alt2",2011
"2012-06-21",0.0265927399645856,"New;0.9","Alt2",2012
"1930-06-21",0,"New;0.9","Alt2a",1930
"1949-06-21",0,"New;0.9","Alt2a",1949
"1953-06-14",0,"New;0.9","Alt2a",1953
"1966-06-21",0,"New;0.9","Alt2a",1966
"1975-07-02",0.894214018842904,"New;0.9","Alt2a",1975
"1980-06-21",0,"New;0.9","Alt2a",1980
"1982-06-21",0,"New;0.9","Alt2a",1982
"1983-06-21",0,"New;0.9","Alt2a",1983
"1985-06-21",0,"New;0.9","Alt2a",1985
"1986-06-14",0,"New;0.9","Alt2a",1986
"1987-06-21",0.979809211928819,"New;0.9","Alt2a",1987
"1994-06-21",0,"New;0.9","Alt2a",1994
"2000-06-21",0.00821176350383557,"New;0.9","Alt2a",2000
"2011-06-25",1.74801970518312e-05,"New;0.9","Alt2a",2011
"2012-06-21",0,"New;0.9","Alt2a",2012
"1930-06-21",0.0361377524812081,"New;0.9","Alt2b",1930
"1949-06-21",0.408868956725728,"New;0.9","Alt2b",1949
"1953-06-14",0,"New;0.9","Alt2b",1953
"1966-06-21",0.0238919902929755,"New;0.9","Alt2b",1966
"1975-07-02",0.902788204176043,"New;0.9","Alt2b",1975
"1980-06-21",0.110476184559369,"New;0.9","Alt2b",1980
"1982-06-21",0.999844618335739,"New;0.9","Alt2b",1982
"1983-06-21",0.152230909678927,"New;0.9","Alt2b",1983
"1985-06-21",0.00505691051254081,"New;0.9","Alt2b",1985
