Year,,Low,,Median,,High,,,1,1a,1b,2,2a,2b,
1947,&,Alt2b,&,Alt2b,&,Alt2b,\\,,6,3,5,3,5,23,45
1949,&,Alt2b,&,Alt2b,&,Alt2b,\\,,,,,,,,
1966,&,Alt2b,&,Alt2b,&,Alt2b,\\,,,,,,,,
1968,&,Alt1a,&,Alt1a,&,Alt1a,\\,,,,,,,,
1975,&,Alt2b,&,Alt2b,&,Alt2b,\\,,,,,,,,
1980,&,Alt2b,&,Alt2b,&,Alt2b,\\,,,,,,,,
1983,&,Alt2b,&,Alt1b,&,Alt1b,\\,,,,,,,,
1984,&,Alt2a,&,Alt2a,&,Alt2a,\\,,,,,,,,
1985,&,Alt1b,&,Alt1b,&,Alt1b,\\,,,,,,,,
1986,&,Alt2,&,Alt2,&,Alt2,\\,,,,,,,,
1987,&,Alt2b,&,Alt2b,&,Alt2b,\\,,,,,,,,
1998,&,Alt2b,&,Alt2b,&,Alt2b,\\,,,,,,,,
2011,&,Alt2b,&,Alt2a,&,Alt2a,\\,,,,,,,,
2012,&,Alt1,&,Alt1,&,Alt1,\\,,,,,,,,
