"","Year","1","1a","1b","2","2a","2b","NoAct","Weather_Pattern"
"1",1930,0,0,0.951525059860495,0,0,0.94318151619511,0,"Median"
"2",1949,0,0,0.977381828550458,0,0,0.977398766546942,0,"High"
"3",1966,0,0,0,0,0,0.977383469408509,0,"Low"
"4",1975,0.957056190498543,0.957820097213843,0.957451580986501,0.968802960629117,0.958115509982398,0.956830403654147,0.956803033972685,"Median"
"5",1980,0.927576737819126,0,0.933826330033036,0.97137090720101,0,0.931053859906784,0,"Median"
"6",1983,0.957654773818032,0,0.972672833113413,0.977340672375248,0,0.970612750540973,0,"Median"
"7",1985,0.903790967961297,0,0.956400445369561,0.976308436684984,0,0.9122399257401,0,"Median"
"8",1986,0,0,0,0.977399088129517,0,0,0,"High"
"9",1987,0.973247435312508,0,0.966673778973487,0.972636820321846,0.976721211670905,0.967613879639336,0,"High"
"10",1994,0,0,0.936020269585587,0,0,0,0,"Median"
"11",1997,0.97730575348802,0.975585001908328,0.976217394884248,0.975181279067799,0.97667254518898,0.975582639397452,0.975207293892834,"High"
"12",2000,0.970392337529464,0,0.968604965925828,0,0,0.970381982792553,0,"Median"
"13",2011,0.914766805952357,0.905325646070733,0.902618028443875,0.914174180491581,0.905525468860649,0.905111593913124,0.90335473824514,"Low"
"14",2012,0.94257121771125,0,0,0,0,0,0,"Median"
