"Year","Weather_Pattern","Flow_Scenario","Flow_Threshold","Temp_Threshold","Overlap_Start","1","3","5","Overlap_Last_Day"
1930,"High","Alt.1b",17500,16,"06-07","06-15","06-17","06-19","06-21"
1930,"High","Alt.2b",17500,16,"06-07","06-15","06-17","06-19","06-26"
1949,"High","Alt.1b",17500,16,"06-07","06-15","06-17","Fail","06-17"
1949,"High","Alt.2b",17500,16,"06-07","06-14","06-16","Fail","06-17"
1953,"High","Alt.2",17500,16,"06-07","Fail","Fail","Fail","06-07"
1953,"High","No.Act",17500,16,"07-07","07-26","Fail","Fail","07-26"
1966,"Low","Alt.2b",17500,16,"06-25","06-25","06-25","06-25","06-26"
1975,"Median","Alt.1a",17500,16,"06-30","08-01","08-03","08-05","12-30"
1975,"Median","Alt.1b",17500,16,"06-30","08-01","08-03","08-05","12-30"
1975,"Median","Alt.2",17500,16,"06-30","08-01","08-03","08-05","12-30"
1975,"Median","Alt.2a",17500,16,"06-30","08-01","08-03","08-05","12-30"
1975,"Median","Alt.2b",17500,16,"06-30","08-01","08-03","08-05","12-30"
1975,"Median","Alt1",17500,16,"06-30","08-01","08-03","08-05","12-30"
1975,"Median","No.Act",17500,16,"06-30","08-01","08-03","08-05","12-30"
1976,"Median","Alt.1b",17500,16,"06-14","08-01","08-03","08-05","12-30"
1976,"Median","Alt.2",17500,16,"06-14","08-01","08-03","08-05","12-30"
1976,"Median","Alt.2b",17500,16,"06-14","08-01","08-03","08-05","12-30"
1976,"Median","Alt1",17500,16,"06-14","08-01","08-03","08-05","12-30"
1976,"Median","No.Act",17500,16,"06-14","08-01","08-03","08-05","12-30"
1980,"Median","Alt.1b",17500,16,"06-14","06-17","06-19","06-21","06-24"
1980,"Median","Alt.2",17500,16,"06-14","06-14","06-14","06-14","06-19"
1980,"Median","Alt.2b",17500,16,"06-14","06-16","06-18","06-20","06-26"
1980,"Median","Alt1",17500,16,"06-14","06-14","06-14","06-14","06-17"
1983,"Median","Alt.1b",17500,16,"06-14","06-19","06-21","06-23","06-23"
1983,"Median","Alt.2",17500,16,"06-14","06-14","06-14","06-14","06-19"
1983,"Median","Alt.2b",17500,16,"06-14","06-16","06-18","06-20","06-22"
1983,"Median","Alt1",17500,16,"06-14","06-14","06-14","06-16","06-21"
1985,"Median","Alt.1b",17500,16,"06-14","06-19","06-21","06-23","06-25"
1985,"Median","Alt.2",17500,16,"06-14","06-14","06-14","06-14","06-19"
1985,"Median","Alt.2b",17500,16,"06-14","06-16","06-18","06-20","06-26"
1985,"Median","Alt1",17500,16,"06-14","06-14","06-14","06-16","06-22"
1986,"High","Alt.1b",17500,16,"06-07","Fail","Fail","Fail","06-07"
1986,"High","Alt.2",17500,16,"06-07","06-07","06-09","Fail","06-09"
1986,"High","Alt.2b",17500,16,"06-07","06-08","Fail","Fail","06-08"
1986,"High","Alt1",17500,16,"06-07","06-08","Fail","Fail","06-09"
1987,"High","Alt.1a",17500,16,"06-07","06-07","06-07","06-07","06-07"
1987,"High","Alt.1b",17500,16,"06-07","06-16","06-18","06-20","06-22"
1987,"High","Alt.2",17500,16,"06-07","06-08","06-10","06-12","06-19"
1987,"High","Alt.2a",17500,16,"06-07","06-07","06-07","06-07","06-12"
1987,"High","Alt.2b",17500,16,"06-07","06-16","06-18","06-20","06-25"
1987,"High","Alt1",17500,16,"06-07","06-08","06-10","06-12","06-15"
1994,"Median","Alt.1b",17500,16,"06-14","06-14","06-15","06-17","06-17"
1997,"High","Alt.1a",17500,16,"06-25","08-01","08-03","08-05","12-30"
1997,"High","Alt.1b",17500,16,"06-30","08-01","08-03","08-05","12-30"
1997,"High","Alt.2",17500,16,"06-25","08-01","08-03","08-05","12-30"
1997,"High","Alt.2a",17500,16,"06-30","08-01","08-03","08-05","12-30"
1997,"High","Alt.2b",17500,16,"06-25","08-01","08-03","08-05","12-30"
1997,"High","Alt1",17500,16,"06-25","08-01","08-03","08-05","12-30"
1997,"High","No.Act",17500,16,"06-25","08-01","08-03","08-05","12-30"
2000,"Median","Alt.1b",17500,16,"06-14","06-14","06-16","Fail","06-17"
2000,"Median","Alt.2b",17500,16,"06-14","06-14","06-14","06-14","06-15"
2000,"Median","Alt1",17500,16,"06-14","06-14","06-14","06-14","06-15"
2011,"Low","Alt.1a",17500,16,"06-25","06-25","06-25","06-25","12-30"
2011,"Low","Alt.1b",17500,16,"06-25","06-25","06-25","06-25","12-30"
2011,"Low","Alt.2",17500,16,"06-25","06-25","06-25","06-25","12-30"
2011,"Low","Alt.2a",17500,16,"06-25","06-25","06-25","06-25","12-30"
2011,"Low","Alt.2b",17500,16,"06-25","06-25","06-25","06-25","12-30"
2011,"Low","Alt1",17500,16,"06-25","06-25","06-25","06-25","12-30"
2011,"Low","No.Act",17500,16,"06-25","06-25","06-25","06-25","12-30"
2012,"Median","Alt1",17500,16,"06-14","06-14","06-14","Fail","06-14"
